#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type, Distance (")
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string, float
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance
calibration,HST,CALWF3,WFC3/UVIS,HST,F475X,Optical,BIAS,,ibu9bw010,81.01703740409,-24.45212795543,3,56111.0062623032,0,56111.19244211,CAL/WFC3,188.962307255566
calibration,HST,CALWF3,WFC3/UVIS,HST,F475X,OPTICAL,DARK,,ibu9bwilq,81.01703740409,-24.45212795543,2,56111.0092673264,900,56111.19274304,CAL/WFC3,188.962307255566
calibration,HST,CALWF3,WFC3/UVIS,HST,F475X,OPTICAL,TUNGSTEN,,ibu887iaq,81.01703740409,-24.45212795543,2,56111.0005406597,1,56111.19203707,CAL/WFC3,189.081342362629
calibration,HST,CALWF3,WFC3/UVIS,HST,F475X,OPTICAL,TUNGSTEN,,ibu887ibq,81.01703740409,-24.45212795543,2,56111.001084375,200,56111.19209494,CAL/WFC3,189.081342362629
calibration,HST,CALWF3,WFC3/UVIS,HST,F475X,OPTICAL,TUNGSTEN,,ibu887icq,81.01703740409,-24.45212795543,2,56111.003931794,1,56111.19215281,CAL/WFC3,189.081342362629
science,HST,HAP-SVM,WFPC2/PC,HAP,F606W,Optical,ANY,,hst_8090_bk_wfpc2_pc_f606w_u581bk,80.95813161309,-24.50880662918,3,51222.51057085,2100,51223.5194444,HAP,201.668052529302
science,HST,HAP-SVM,WFPC2/PC,HAP,detection,,ANY,,hst_8090_bk_wfpc2_pc_total_u581bk,80.95813161309,-24.50880662918,3,51222.51057085,2100,51223.5194444,HAP,201.668052529608
science,HST,HAP-SVM,WFPC2/PC,HAP,F606W,Optical,ANY,,hst_8090_bj_wfpc2_pc_f606w_u581bj,80.95813161309,-24.50880662918,3,51222.44876529,1900,51223.5159722,HAP,201.68091041281
science,HST,HAP-SVM,WFPC2/PC,HAP,detection,,ANY,,hst_8090_bj_wfpc2_pc_total_u581bj,80.95813161309,-24.50880662918,3,51222.44876529,1900,51223.5159722,HAP,201.68091041281
calibration,HST,CALWF3,WFC3/IR,HST,BLANK,OPTICAL,DARK,,ibmf85hbq,81.01703740409,-24.45212795543,2,56110.8351641551,352.939514,56111.04223382,CAL/WFC3,204.645235706561
calibration,HST,CALWF3,WFC3/IR,HST,BLANK,OPTICAL,DARK,,ibmf85hdq,81.01703740409,-24.45212795543,2,56110.8397359954,352.939514,56111.04252313,CAL/WFC3,204.645235706561
calibration,HST,CALWF3,WFC3/IR,HST,BLANK,OPTICAL,DARK,,ibmf85hfq,81.01703740409,-24.45212795543,2,56110.8443078704,352.939514,56111.04281248,CAL/WFC3,204.645235706561
calibration,HST,CALWF3,WFC3/IR,HST,BLANK,OPTICAL,DARK,,ibmf85hhq,81.01703740409,-24.45212795543,2,56110.8488797106,352.939514,56111.04346059,CAL/WFC3,204.645235706561
calibration,HST,CALWF3,WFC3/IR,HST,BLANK,OPTICAL,DARK,,ibmf85hnq,81.01703740409,-24.45212795543,2,56110.8616456366,352.939514,56111.0444444,CAL/WFC3,204.645235706561
calibration,HST,CALWF3,WFC3/IR,HST,BLANK,OPTICAL,DARK,,ibmf85hrq,81.01703740409,-24.45212795543,2,56110.8662174769,352.939514,56111.04508097,CAL/WFC3,204.645235706561
calibration,HST,CALWF3,WFC3/IR,HST,BLANK,OPTICAL,DARK,,ibmf85htq,81.01703740409,-24.45212795543,2,56110.8745971065,352.939514,56111.04538195,CAL/WFC3,204.645235706561
calibration,HST,CALWF3,WFC3/IR,HST,BLANK,OPTICAL,DARK,,ibmf85hxq,81.01703740409,-24.45212795543,2,56110.8791689815,352.939514,56111.19086807,CAL/WFC3,204.645235706561
calibration,HST,CALWF3,WFC3/IR,HST,BLANK,OPTICAL,DARK,,ibmf85hzq,81.01703740409,-24.45212795543,2,56110.8837408218,352.939514,56111.19092594,CAL/WFC3,204.645235706561
science,HST,CALWFPC2,WFPC2/PC,HST,F606W,OPTICAL,ANY,UNIDENTIFIED;PARALLEL FIELD,u581bj01r,80.96068555002,-24.50849029353,3,51222.4487652778,1000,51223.51642358,GO/PAR,238.548480950358
science,HST,CALWFPC2,WFPC2/PC,HST,F606W,OPTICAL,ANY,UNIDENTIFIED;PARALLEL FIELD,u581bj02r,80.96068555002,-24.50849029353,3,51222.4619597569,900,51223.51641201,GO/PAR,238.548480950358
science,HST,CALWFPC2,WFPC2/PC,HST,F606W,OPTICAL,ANY,UNIDENTIFIED;PARALLEL FIELD,u581bk01r,80.96068555002,-24.50849029353,3,51222.5105708333,1000,51223.51384254,GO/PAR,238.548480950358
science,HST,CALWFPC2,WFPC2/PC,HST,F606W,OPTICAL,ANY,UNIDENTIFIED;PARALLEL FIELD,u581bk02r,80.96068555002,-24.50849029353,3,51222.5237653125,1100,51223.51972217,GO/PAR,238.548480950358
calibration,HST,CALSTIS,STIS/CCD,HST,MIRVIS,Optical,DARK,,obvm3jidq,81.01703740409,-24.45212795543,2,56111.000099537,1100,56111.18350691,CAL/STIS,246.661965732631
calibration,HST,CALSTIS,STIS/CCD,HST,MIRVIS,Optical,DARK,,obvm3jieq,81.01703740409,-24.45212795543,2,56111.0133402778,60,56111.18379626,CAL/STIS,246.661965732631
