target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime
SN-2014J,STAR;SUPERNOVA TYPE IA,148.9255,69.67386111111,3,56967.01716004,390.0
SN-2014J,STAR;SUPERNOVA TYPE IA,148.9255,69.67386111111,3,56967.02945189,390.0
SN-2014J,STAR;SUPERNOVA TYPE IA,148.9255,69.67386111111,3,56967.04170856,390.0
SN-2014J,STAR;SUPERNOVA TYPE IA,148.9255,69.67386111111,3,56967.05430115,80.0
SN-2014J,STAR;SUPERNOVA TYPE IA,148.9255,69.67386111111,3,56967.08320189,80.0
SN-2014J,STAR;SUPERNOVA TYPE IA,148.9255,69.67386111111,3,56967.09303967,80.0
SN-2014J,STAR;SUPERNOVA TYPE IA,148.9255,69.67386111111,3,56967.09963708,60.0
SN-2014J,STAR;SUPERNOVA TYPE IA,148.9255,69.67386111111,3,56967.10927819,55.0
SN-2014J,STAR;SUPERNOVA TYPE IA,148.9255,69.67386111111,3,56967.11234523,55.0
SN-2014J,STAR;SUPERNOVA TYPE IA,148.9255,69.67386111111,3,57106.08076321,1400.0
SN-2014J,STAR;SUPERNOVA TYPE IA,148.9255,69.67386111111,3,57106.14078618,1400.0
SN-2014J,STAR;SUPERNOVA TYPE IA,148.9255,69.67386111111,3,57106.16227951,1200.0
SN-2014J,STAR;SUPERNOVA TYPE IA,148.9255,69.67386111111,3,57108.42892284,180.0
SN-2014J,STAR;SUPERNOVA TYPE IA,148.9255,69.67386111111,3,57108.46584432,180.0
SN-2014J,STAR;SUPERNOVA TYPE IA,148.9255,69.67386111111,3,57108.47937432,180.0
SN-2014J,STAR;SUPERNOVA TYPE IA,148.9255,69.67386111111,3,57108.49336729,60.0
SN-2014J,STAR;SUPERNOVA TYPE IA,148.9255,69.67386111111,3,57108.53482581,60.0
SN-2014J,STAR;SUPERNOVA TYPE IA,148.9255,69.67386111111,3,57108.54326321,60.0
SN-2014J,STAR;SUPERNOVA TYPE IA,148.9255,69.67386111111,3,57108.55753395,120.0
SN-2014J,ISM;DUST LANE,148.9255,69.67386111111,3,57338.5308265,4160.0
SN-2014J,ISM;DUST LANE,148.9255,69.67386111111,3,57338.54536354,400.0
SN-2014J,ISM;DUST LANE,148.9255,69.67386111111,3,57338.5308265,4560.0
SN-2014J,ISM;DUST LANE,148.9255,69.67386111111,3,57338.71076872,4160.0
SN-2014J,ISM;DUST LANE,148.9255,69.67386111111,3,57338.72530576,400.0
